id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1570.22,100,9.37833,162.878,0,C:0 T:0 P:0 W:100,55,30.6551,-0.643324,36.0915,0.0554612,0.0262602,-0.998115,0
0,1573.78,340,16.4706,321.867,1,C:0 T:0 P:1 W:100,56,30.6682,-0.637108,35.8553,0.0554612,0.0262602,-0.998115,0
0,1571.15,99,10.4742,189.638,0,C:0 T:0 P:0 W:99,57,30.6804,-0.631367,35.6371,0.0554612,0.0262602,-0.998115,0
0,1569.92,339,11.342,221.174,1,C:0 T:0 P:1 W:99,58,30.6939,-0.624972,35.394,0.0554612,0.0262602,-0.998115,0
0,1570.96,98,12.4737,205.865,0,C:0 T:0 P:0 W:98,59,30.7055,-0.619451,35.1842,0.0554612,0.0262602,-0.998115,0
0,1575.8,338,25.8435,464.419,1,C:0 T:0 P:1 W:98,60,30.7203,-0.612454,34.9182,0.0554612,0.0262602,-0.998115,0
0,1573.17,97,9.79086,153.316,0,C:0 T:0 P:0 W:97,61,30.7309,-0.607447,34.7279,0.0554612,0.0262602,-0.998115,0
0,1570.83,337,12.3163,200.616,1,C:0 T:0 P:1 W:97,62,30.7458,-0.600362,34.4586,0.0554612,0.0262602,-0.998115,0
0,1572.93,96,10.7739,166.799,0,C:0 T:0 P:0 W:96,63,30.756,-0.595534,34.2751,0.0554612,0.0262602,-0.998115,0
0,1574.66,336,17.1708,290.255,1,C:0 T:0 P:1 W:96,64,30.7721,-0.587924,33.9859,0.0645062,0.0252548,-0.997598,0
0,1574.56,95,10.1601,165.613,0,C:0 T:0 P:0 W:95,65,30.7829,-0.583717,33.8197,0.0733025,0.0242744,-0.997014,0
0,1579.92,335,14.2812,266.803,1,C:0 T:0 P:1 W:95,66,30.8055,-0.576207,33.5112,0.0733025,0.0242744,-0.997014,0
0,1575.37,94,11.0637,182.006,0,C:0 T:0 P:0 W:94,67,30.8162,-0.572668,33.3659,0.0733025,0.0242744,-0.997014,0
0,1580.54,334,15.8562,296.803,1,C:0 T:0 P:1 W:94,68,30.8398,-0.564856,33.045,0.0733025,0.0242744,-0.997014,0
0,1577.64,93,10.662,169.871,0,C:0 T:0 P:0 W:93,69,30.8498,-0.561553,32.9093,0.0733025,0.0242744,-0.997014,0
0,1582.98,333,16.8108,299.598,1,C:0 T:0 P:1 W:93,70,30.8744,-0.553417,32.5752,0.0733025,0.0242744,-0.997014,0
0,1579.83,92,10.4695,174.552,0,C:0 T:0 P:0 W:92,71,30.8833,-0.550441,32.4529,0.0733025,0.0242744,-0.997014,0
0,1582.53,332,10.2596,176.903,1,C:0 T:0 P:1 W:92,72,30.9085,-0.542117,32.111,0.0733025,0.0242744,-0.997014,0
0,1581.16,91,12.7263,206.058,0,C:0 T:0 P:0 W:91,73,30.9168,-0.539368,31.9982,0.0733025,0.0242744,-0.997014,0
0,1584.44,331,13.7466,232.366,1,C:0 T:0 P:1 W:91,74,30.943,-0.530703,31.6423,0.0733025,0.0242744,-0.997014,0
0,1582.67,90,13.0085,211.342,0,C:0 T:0 P:0 W:90,75,30.9502,-0.528288,31.5431,0.0733025,0.0242744,-0.997014,0
0,1586.5,330,18.78,314.706,1,C:0 T:0 P:1 W:90,76,30.9774,-0.519283,31.1732,0.0733025,0.0242744,-0.997014,0
0,1584.42,89,12.3321,209.256,0,C:0 T:0 P:0 W:89,77,30.9837,-0.517196,31.0875,0.0733025,0.0242744,-0.997014,0
0,1589.19,329,18.8878,344.891,1,C:0 T:0 P:1 W:89,78,31.012,-0.507832,30.7029,0.0733025,0.0242744,-0.997014,0
0,1586.44,88,12.8917,230.887,0,C:0 T:0 P:0 W:88,79,31.0173,-0.506092,30.6314,0.0733025,0.0242744,-0.997014,0
0,1592.16,328,16.9981,356.789,1,C:0 T:0 P:1 W:88,80,31.0466,-0.496368,30.232,0.0733025,0.0242744,-0.997014,0
0,1587.82,87,12.16,207.86,0,C:0 T:0 P:0 W:87,81,31.0507,-0.495017,30.1766,0.0733025,0.0242744,-0.997014,0
0,1593.92,327,18.0849,322.629,1,C:0 T:0 P:1 W:87,82,31.0811,-0.484962,29.7636,0.0733025,0.0242744,-0.997014,0
0,1589.87,86,11.6865,194.926,0,C:0 T:0 P:0 W:86,83,31.0842,-0.483913,29.7204,0.0755482,0.0215162,-0.99691,0
0,1593.71,326,14.1218,274.133,1,C:0 T:0 P:1 W:86,84,31.1161,-0.474835,29.2998,0.0841967,0.0108804,-0.99639,0
0,1591.54,85,12.9851,204.173,0,C:0 T:0 P:0 W:85,85,31.1191,-0.474446,29.2643,0.0841967,0.0108804,-0.99639,0
0,1596.76,325,19.8539,348.939,1,C:0 T:0 P:1 W:85,86,31.1556,-0.469734,28.8327,0.0841967,0.0108804,-0.99639,0
0,1593.9,84,13.7506,235.679,0,C:0 T:0 P:0 W:84,87,31.158,-0.469425,28.8045,0.0841967,0.0108804,-0.99639,0
0,1595.73,324,17.4504,285.071,1,C:0 T:0 P:1 W:84,88,31.1943,-0.464731,28.3746,0.0841967,0.0108804,-0.99639,0
0,1595.33,83,13.9346,230.608,0,C:0 T:0 P:0 W:83,89,31.1967,-0.464426,28.3466,0.0841967,0.0108804,-0.99639,0
0,1597.31,82,10.412,175.386,0,C:0 T:0 P:0 W:82,90,31.2355,-0.459414,27.8877,0.0841967,0.0108804,-0.99639,0
0,1602.87,322,16.0894,304.779,1,C:0 T:0 P:1 W:82,91,31.2734,-0.454504,27.438,0.0841967,0.0108804,-0.99639,0
