eid/I,type/S,id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S
1,pmtrack,0,1645.01,301,18.2214,335.378,1,C:0 T:0 P:1 W:61
1,pmtrack,0,1641.99,60,12.7473,204.882,0,C:0 T:0 P:0 W:60
1,pmtrack,0,1647.63,300,16.6607,317.547,1,C:0 T:0 P:1 W:60
1,pmtrack,0,1643.61,59,13.3869,214.805,0,C:0 T:0 P:0 W:59
1,pmtrack,0,1647.47,299,13.9226,280.353,1,C:0 T:0 P:1 W:59
1,pmtrack,0,1645.01,58,16.4978,260.999,0,C:0 T:0 P:0 W:58
1,pmtrack,0,1648.79,298,27.9507,465.307,1,C:0 T:0 P:1 W:58
1,pmtrack,0,1646.72,57,14.6228,242.994,0,C:0 T:0 P:0 W:57
1,pmtrack,0,1648.38,56,12.0448,198.354,0,C:0 T:0 P:0 W:56
1,pmtrack,0,1653.47,296,19.6427,345.148,1,C:0 T:0 P:1 W:56
1,pmtrack,0,1650.67,55,11.1191,180.937,0,C:0 T:0 P:0 W:55
1,pmtrack,0,1654.5,295,16.4005,298.492,1,C:0 T:0 P:1 W:55
1,pmtrack,0,1651.9,54,11.8576,180.632,0,C:0 T:0 P:0 W:54
1,pmtrack,0,1658.34,294,19.468,351.603,1,C:0 T:0 P:1 W:54
1,pmtrack,0,1653.98,53,12.5222,201.562,0,C:0 T:0 P:0 W:53
1,pmtrack,0,1657.97,293,16.2468,289.323,1,C:0 T:0 P:1 W:53
1,pmtrack,0,1655.6,52,12.2766,194.918,0,C:0 T:0 P:0 W:52
1,pmtrack,0,1659.3,292,17.0723,298.381,1,C:0 T:0 P:1 W:52
1,pmtrack,0,1656.39,51,12.8749,213.206,0,C:0 T:0 P:0 W:51
1,pmtrack,0,1660.6,291,21.8411,344.892,1,C:0 T:0 P:1 W:51
1,pmtrack,0,1658.34,50,12.6971,207.248,0,C:0 T:0 P:0 W:50
1,pmtrack,0,1661.66,290,19.2051,335.732,1,C:0 T:0 P:1 W:50
1,pmtrack,0,1659.56,49,12.135,189.278,0,C:0 T:0 P:0 W:49
1,pmtrack,0,1665.96,289,20.417,360.106,1,C:0 T:0 P:1 W:49
1,pmtrack,0,1661.55,48,11.9482,195.987,0,C:0 T:0 P:0 W:48
1,pmtrack,0,1667.04,288,17.0676,311.903,1,C:0 T:0 P:1 W:48
1,pmtrack,0,1664.43,47,12.5739,197.288,0,C:0 T:0 P:0 W:47
1,pmtrack,0,1659.9,287,13.7865,232.839,1,C:0 T:0 P:1 W:47
1,pmtrack,0,1665.9,46,11.3666,173.959,0,C:0 T:0 P:0 W:46
1,pmtrack,0,1668.24,286,14.6159,294.357,1,C:0 T:0 P:1 W:46
1,pmtrack,0,1667.82,45,10.9928,171.859,0,C:0 T:0 P:0 W:45
1,pmtrack,0,1668.64,285,18.2405,320.305,1,C:0 T:0 P:1 W:45
1,pmtrack,0,1669.23,44,11.4662,186.876,0,C:0 T:0 P:0 W:44
1,pmtrack,0,1670.87,284,17.0215,305.29,1,C:0 T:0 P:1 W:44
1,pmtrack,0,1670.42,43,12.4458,202.815,0,C:0 T:0 P:0 W:43
1,pmtrack,0,1674.42,283,19.7046,369.087,1,C:0 T:0 P:1 W:43
1,pmtrack,0,1672.75,42,10.8641,174.179,0,C:0 T:0 P:0 W:42
1,pmtrack,0,1677.25,282,13.2874,292.909,1,C:0 T:0 P:1 W:42
1,pmtrack,0,1674.3,41,10.5574,168.513,0,C:0 T:0 P:0 W:41
1,pmtrack,0,1681.34,281,24.3655,338.777,1,C:0 T:0 P:1 W:41
1,pmtrack,0,1676.04,40,10.5247,168.8,0,C:0 T:0 P:0 W:40
1,pmtrack,0,1675.95,280,16.5593,265.028,1,C:0 T:0 P:1 W:40
1,pmtrack,0,1679.18,39,10.554,193.979,0,C:0 T:0 P:0 W:39
1,pmtrack,0,1678.07,279,17.6412,303.786,1,C:0 T:0 P:1 W:39
1,pmtrack,0,1681.13,38,11.4277,212.329,0,C:0 T:0 P:0 W:38
1,pmtrack,0,1681.83,278,16.305,280.404,1,C:0 T:0 P:1 W:38
1,pmtrack,0,1679.21,37,8.71875,139.875,0,C:0 T:0 P:0 W:37
1,pmtrack,0,1682.7,277,19.9807,310.602,1,C:0 T:0 P:1 W:37
1,pmtrack,0,1680.92,36,9.35984,140.931,0,C:0 T:0 P:0 W:36
1,pmtrack,0,1683.56,276,16.1236,264.982,1,C:0 T:0 P:1 W:36
